metoda,2000–2010,2015–2023
OLS (m/rok),-0.18897047131453756,-0.11231617667331494
Theil-Sen (m/rok),-0.18771449328378992,-0.11139511007860926
Bootstrap mediana (m/rok),-0.18894923603738967,-0.11233693418451449
Bootstrap 95% CI dolna,-0.20078575841084625,-0.1230648995804437
Bootstrap 95% CI górna,-0.17773821549813307,-0.1013093224217915
Śr. mies. Δlevel (m),-0.008702290076335882,-0.011308411214953346
Odch. std. Δlevel (m),0.06146164465702196,0.06442904700828231
Mann-Kendall p,0.0,0.0
Różnica tempa (okres2-okres1) m/rok,,0.07665429464122263
Przedziały 95% CI pokrywają się,False,
"Różnica istotna (p<0,05)",True,
Chow F (zmiana struktury),50.22063994851942,
Chow p,0.0,
